CustomerID,SignupDate
CUST00329,2023-08-08
CUST00330,2023-06-07
CUST00331,2024-04-21
CUST00332,2023-02-15
CUST00333,2024-01-08
CUST00334,2024-06-01
CUST00335,2023-04-09
CUST00336,2023-02-06
CUST00337,2023-10-07
CUST00338,2023-12-15
CUST00339,2024-05-11
CUST00340,2023-10-29
CUST00341,2023-06-30
CUST00342,2024-08-29
CUST00343,2023-04-09
CUST00344,2024-11-30
CUST00345,2023-04-26
CUST00346,2023-07-10
CUST00347,2023-09-10
CUST00348,2023-06-10
CUST00349,2023-09-13
CUST00350,2023-11-19
CUST00351,2023-05-08
CUST00352,2023-01-18
CUST00353,2024-07-19
CUST00354,2024-07-23
CUST00355,2023-11-19
CUST00356,2024-11-16
CUST00357,2024-09-17
CUST00358,2023-10-15
CUST00359,2024-10-24
CUST00360,2024-09-30
CUST00361,2023-06-04
CUST00362,2024-05-04
CUST00363,2024-01-21
CUST00364,2023-04-14
CUST00365,2024-01-28
CUST00366,2023-09-03
CUST00367,2023-06-25
CUST00368,2023-02-08
CUST00369,2024-04-21
CUST00370,2024-11-12
CUST00371,2024-06-21
CUST00372,2024-02-12
CUST00373,2024-06-08
CUST00374,2024-05-20
CUST00375,2023-02-05
CUST00376,2024-11-15
CUST00377,2023-01-20
CUST00378,2023-11-17
CUST00379,2024-05-26
CUST00380,2024-02-04
CUST00381,2024-10-15
CUST00382,2024-04-15
CUST00383,2023-05-23
CUST00384,2023-04-02
CUST00385,2023-12-20
CUST00386,2023-02-20
CUST00387,2024-10-26
CUST00388,2024-11-28
CUST00389,2024-07-28
CUST00390,2023-07-09
CUST00391,2023-05-05
CUST00392,2023-05-30
CUST00393,2023-11-10
CUST00394,2024-07-23
CUST00395,2023-12-08
CUST00396,2023-11-01
CUST00397,2024-11-22
CUST00398,2024-11-12
CUST00399,2023-02-23
CUST00400,2024-03-19
CUST00401,2024-09-04
CUST00402,2023-09-21
CUST00403,2023-02-22
CUST00404,2024-07-25
CUST00405,2024-09-11
CUST00406,2023-01-05
CUST00407,2023-04-13
CUST00408,2023-07-15
CUST00409,2023-12-16
CUST00410,2023-02-16
CUST00411,2024-10-17
CUST00412,2023-09-26
CUST00413,2024-01-05
CUST00414,2024-09-27
CUST00415,2023-04-16
CUST00416,2024-10-31
CUST00417,2024-10-20
CUST00418,2024-10-18
CUST00419,2023-04-30
CUST00420,2024-08-26
CUST00421,2023-02-27
CUST00422,2023-12-12
CUST00423,2024-04-18
CUST00424,2023-04-27
CUST00425,2023-05-07
CUST00426,2024-01-28
CUST00427,2024-10-02
CUST00428,2023-02-27
CUST00429,2024-09-25
CUST00430,2024-05-27
CUST00431,2023-04-06
CUST00432,2024-09-29
CUST00433,2023-04-28
CUST00434,2024-07-13
CUST00435,2024-08-23
CUST00436,2024-05-02
CUST00437,2023-08-25
CUST00438,2023-09-29
CUST00439,2023-07-08
CUST00440,2024-03-22
CUST00441,2024-08-03
CUST00442,2023-09-04
CUST00443,2023-03-17
CUST00444,2023-06-03
CUST00445,2024-10-17
CUST00446,2024-03-10
CUST00447,2023-03-27
CUST00448,2024-11-27
CUST00449,2023-10-12
CUST00450,2023-08-08
CUST00451,2023-03-10
CUST00452,2023-02-16
CUST00453,2023-04-04
CUST00454,2024-03-28
CUST00455,2023-07-23
CUST00456,2023-08-06
CUST00457,2024-04-18
CUST00458,2024-03-07
CUST00459,2023-12-07
CUST00460,2024-07-04
CUST00461,2024-09-03
CUST00462,2023-10-16
CUST00463,2023-09-11
CUST00464,2023-12-23
CUST00465,2023-01-23
CUST00466,2024-06-05
CUST00467,2023-04-10
CUST00468,2023-06-29
CUST00469,2023-08-11
CUST00470,2024-10-20
CUST00471,2024-03-17
CUST00472,2024-08-30
CUST00473,2023-11-21
CUST00474,2024-05-30
CUST00475,2023-01-16
CUST00476,2023-12-02
CUST00477,2023-09-15
CUST00478,2024-05-11
CUST00479,2023-06-09
CUST00480,2024-04-19
CUST00481,2024-10-25
CUST00482,2024-11-20
CUST00483,2024-11-05
CUST00484,2024-01-15
CUST00485,2024-06-28
CUST00486,2024-11-21
CUST00487,2024-03-02
CUST00488,2024-09-04
CUST00489,2023-09-25
CUST00490,2024-07-30
CUST00491,2024-02-21
CUST00492,2023-06-17
CUST00493,2023-02-12
CUST00494,2024-07-09
CUST00495,2023-10-12
CUST00496,2024-02-01
CUST00497,2023-01-12
CUST00498,2024-08-29
CUST00499,2023-10-29
CUST00500,2023-09-10
CUST00501,2024-05-13
CUST00502,2023-02-04
CUST00503,2023-03-31
CUST00504,2024-08-27
CUST00505,2024-08-24
CUST00506,2024-02-22
CUST00507,2023-04-25
CUST00508,2024-09-08
CUST00509,2023-07-15
CUST00510,2024-05-15
CUST00511,2024-09-17
CUST00512,2024-05-07
CUST00513,2023-03-16
CUST00514,2024-02-17
CUST00515,2024-01-11
CUST00516,2024-02-24
CUST00517,2023-10-04
CUST00518,2024-11-06
CUST00519,2024-01-29
CUST00520,2024-04-01
CUST00521,2023-07-11
CUST00522,2024-11-19
CUST00523,2023-04-09
CUST00524,2024-07-01
CUST00525,2023-04-06
CUST00526,2024-10-25
CUST00527,2024-10-24
CUST00528,2023-07-09
CUST00529,2023-02-06
CUST00530,2024-01-04
CUST00531,2024-11-25
CUST00532,2024-06-08
CUST00533,2023-10-06
CUST00534,2023-08-05
CUST00535,2023-09-30
CUST00536,2023-03-03
CUST00537,2024-08-18
CUST00538,2023-12-08
CUST00539,2024-02-01
CUST00540,2024-11-29
CUST00541,2023-01-19
CUST00542,2023-06-26
CUST00543,2024-09-03
CUST00544,2024-01-31
CUST00545,2024-03-20
CUST00546,2023-08-21
CUST00547,2023-03-17
CUST00548,2023-09-22
CUST00549,2024-03-30
CUST00550,2024-01-19
CUST00551,2024-07-17
CUST00552,2024-05-20
CUST00553,2024-01-02
CUST00554,2023-05-24
CUST00555,2023-03-10
CUST00556,2023-04-09
CUST00557,2024-01-31
CUST00558,2023-01-25
CUST00559,2024-04-13
CUST00560,2024-04-28
CUST00561,2024-07-18
CUST00562,2023-05-31
CUST00563,2023-05-24
CUST00564,2024-07-22
CUST00565,2023-02-08
CUST00566,2023-04-19
CUST00567,2024-11-23
CUST00568,2023-02-11
CUST00569,2023-07-05
CUST00570,2024-02-02
CUST00571,2023-08-11
CUST00572,2024-09-25
CUST00573,2023-05-13
CUST00574,2023-06-12
CUST00575,2023-08-03
CUST00576,2023-08-23
CUST00577,2024-10-19
CUST00578,2024-08-10
CUST00579,2023-01-09
CUST00580,2023-03-15
CUST00581,2024-05-06
CUST00582,2023-09-10
CUST00583,2023-08-18
CUST00584,2024-06-02
CUST00585,2023-06-23
CUST00586,2024-10-14
CUST00587,2023-06-17
CUST00588,2023-06-19
CUST00589,2024-01-28
CUST00590,2024-09-25
CUST00591,2023-07-13
CUST00592,2024-05-31
CUST00593,2023-01-29
CUST00594,2023-06-14
CUST00595,2024-02-26
CUST00596,2023-12-05
CUST00597,2024-10-09
CUST00598,2024-05-10
CUST00599,2023-12-31
CUST00600,2023-12-08
CUST00601,2024-05-14
CUST00602,2024-10-18
CUST00603,2024-05-25
CUST00604,2023-11-23
CUST00605,2023-08-05
CUST00606,2023-10-28
CUST00607,2023-05-12
CUST00608,2023-03-11
CUST00609,2023-09-09
CUST00610,2024-02-19
CUST00611,2024-03-20
CUST00612,2023-07-01
CUST00613,2023-06-16
CUST00614,2023-04-01
CUST00615,2024-06-14
CUST00616,2023-02-08
CUST00617,2023-05-06
CUST00618,2024-03-26
CUST00619,2023-06-22
CUST00620,2024-10-14
CUST00621,2023-08-08
CUST00622,2024-09-29
CUST00623,2023-02-27
CUST00624,2024-10-21
CUST00625,2024-04-20
CUST00626,2024-03-31
CUST00627,2023-12-27
CUST00628,2023-01-01
CUST00629,2024-01-22
CUST00630,2023-12-14
CUST00631,2023-07-09
CUST00632,2024-05-19
CUST00633,2023-07-10
CUST00634,2024-05-22
CUST00635,2024-01-04
CUST00636,2024-02-13
CUST00637,2023-04-27
CUST00638,2023-05-14
CUST00639,2023-02-27
CUST00640,2024-07-09
CUST00641,2024-11-15
CUST00642,2024-11-02
CUST00643,2023-06-22
CUST00644,2023-05-29
CUST00645,2023-03-21
CUST00646,2023-08-01
CUST00647,2023-07-22
CUST00648,2023-08-17
CUST00649,2024-11-06
CUST00650,2023-08-15
CUST00651,2024-10-20
CUST00652,2024-06-15
CUST00653,2024-03-16
CUST00654,2024-02-06
CUST00655,2023-02-16
CUST00656,2023-08-21
CUST00657,2023-11-01
CUST00658,2024-06-09
CUST00659,2023-05-23
CUST00660,2024-02-19
CUST00661,2024-05-27
CUST00662,2024-01-08
CUST00663,2024-07-19
CUST00664,2023-09-16
CUST00665,2024-10-17
CUST00666,2024-04-15
CUST00667,2023-01-12
CUST00668,2023-11-26
CUST00669,2023-12-24
CUST00670,2024-02-12
CUST00671,2024-10-29
CUST00672,2024-01-08
CUST00673,2023-01-08
CUST00674,2023-05-02
CUST00675,2023-12-14
CUST00676,2024-11-06
CUST00677,2023-03-31
CUST00678,2024-10-09
CUST00679,2024-11-28
CUST00680,2023-11-12
CUST00681,2023-06-27
CUST00682,2024-06-23
CUST00683,2023-02-10
CUST00684,2024-05-16
CUST00685,2023-05-25
CUST00686,2023-07-20
CUST00687,2024-04-05
CUST00688,2024-07-11
CUST00689,2024-06-30
CUST00690,2023-09-10
CUST00691,2024-01-25
CUST00692,2024-08-16
CUST00693,2023-09-13
CUST00694,2024-03-25
CUST00695,2023-01-10
CUST00696,2023-08-30
CUST00697,2023-09-08
CUST00698,2023-01-05
CUST00699,2023-04-29
CUST00700,2024-01-09
CUST00701,2023-03-06
CUST00702,2023-05-26
CUST00703,2023-08-12
CUST00704,2023-08-27
CUST00705,2023-06-26
CUST00706,2023-10-09
CUST00707,2023-03-04
CUST00708,2023-08-05
CUST00709,2024-11-19
CUST00710,2024-04-05
CUST00711,2024-09-01
CUST00712,2023-04-15
CUST00713,2023-04-09
CUST00714,2024-05-25
CUST00715,2024-01-20
CUST00716,2024-02-09
CUST00717,2024-06-01
CUST00718,2024-04-20
CUST00719,2024-10-06
CUST00720,2024-03-12
CUST00721,2023-01-23
CUST00722,2024-07-18
CUST00723,2024-11-07
CUST00724,2024-04-02
CUST00725,2023-03-24
CUST00726,2023-05-25
CUST00727,2023-03-26
CUST00728,2023-03-19
CUST00729,2024-04-01
CUST00730,2023-01-01
CUST00731,2023-02-20
CUST00732,2024-11-15
CUST00733,2024-03-21
CUST00734,2024-03-24
CUST00735,2024-05-02
CUST00736,2023-02-03
CUST00737,2023-12-14
CUST00738,2023-04-05
CUST00739,2023-03-13
CUST00740,2024-07-04
CUST00741,2023-06-03
CUST00742,2023-09-07
CUST00743,2024-11-04
CUST00744,2024-03-13
CUST00745,2023-04-28
CUST00746,2023-11-02
CUST00747,2023-09-25
CUST00748,2023-02-23
CUST00749,2023-08-24
CUST00750,2024-01-24
CUST00751,2024-02-05
CUST00752,2024-09-15
CUST00753,2023-10-30
CUST00754,2023-07-26
CUST00755,2023-08-17
CUST00756,2024-07-31
CUST00757,2023-03-16
CUST00758,2024-03-10
CUST00759,2023-04-13
CUST00760,2024-02-26
CUST00761,2023-11-02
CUST00762,2023-04-08
CUST00763,2023-12-01
CUST00764,2024-03-10
CUST00765,2024-03-22
CUST00766,2023-11-04
CUST00767,2023-09-06
CUST00768,2023-06-15
CUST00769,2024-04-25
CUST00770,2023-12-01
CUST00771,2024-06-25
CUST00772,2023-04-16
CUST00773,2024-07-16
CUST00774,2023-03-22
CUST00775,2023-05-13
CUST00776,2023-05-18
CUST00777,2023-07-03
CUST00778,2024-02-05
CUST00779,2023-11-26
CUST00780,2024-05-22
CUST00781,2023-03-10
CUST00782,2024-06-29
CUST00783,2023-02-22
CUST00784,2024-03-25
CUST00785,2023-07-24
CUST00786,2023-05-06
CUST00787,2023-02-12
CUST00788,2023-04-21
CUST00789,2024-10-24
CUST00790,2023-07-02
CUST00791,2023-04-05
CUST00792,2024-01-09
CUST00793,2024-06-03
CUST00794,2023-12-26
CUST00795,2024-11-26
CUST00796,2023-10-08
CUST00797,2023-07-14
CUST00798,2023-07-14
CUST00799,2024-10-28
CUST00800,2023-04-03
CUST00801,2024-11-02
CUST00802,2023-03-02
CUST00803,2024-09-25
CUST00804,2023-02-20
CUST00805,2024-02-07
CUST00806,2023-01-05
CUST00807,2024-04-10
CUST00808,2024-08-26
CUST00809,2024-11-12
CUST00810,2024-06-17
CUST00811,2024-02-09
CUST00812,2024-05-27
CUST00813,2024-10-06
CUST00814,2023-08-21
CUST00815,2024-06-07
CUST00816,2023-12-12
CUST00817,2023-02-15
CUST00818,2024-06-29
CUST00819,2023-03-19
CUST00820,2023-03-14
CUST00821,2023-09-06
CUST00822,2023-02-16
CUST00823,2023-05-01
CUST00824,2023-08-02
CUST00825,2023-08-27
CUST00826,2023-02-25
CUST00827,2023-12-16
CUST00828,2023-04-17
CUST00829,2023-02-17
CUST00830,2024-07-26
CUST00831,2023-12-03
CUST00832,2023-01-26
CUST00833,2023-09-14
CUST00834,2023-01-08
CUST00835,2024-09-16
CUST00836,2023-09-10
CUST00837,2024-11-22
CUST00838,2023-10-30
CUST00839,2024-09-30
CUST00840,2023-02-25
CUST00841,2024-06-09
CUST00842,2024-04-18
CUST00843,2023-01-28
CUST00844,2023-03-19
CUST00845,2023-08-04
CUST00846,2024-01-21
CUST00847,2023-12-31
CUST00848,2024-10-27
CUST00849,2024-06-09
CUST00850,2024-11-29
CUST00851,2023-11-08
CUST00852,2023-01-07
CUST00853,2023-01-03
CUST00854,2024-09-14
CUST00855,2023-12-29
CUST00856,2024-05-22
CUST00857,2023-10-01
CUST00858,2024-05-20
CUST00859,2023-01-15
CUST00860,2023-07-11
CUST00861,2024-09-22
CUST00862,2024-04-29
CUST00863,2023-01-28
CUST00864,2023-02-08
CUST00865,2023-09-30
CUST00866,2023-08-19
CUST00867,2023-03-27
CUST00868,2024-04-18
CUST00869,2023-05-06
CUST00870,2024-06-20
CUST00871,2023-05-25
CUST00872,2024-06-08
CUST00873,2023-07-31
CUST00874,2023-01-25
CUST00875,2024-08-02
CUST00876,2024-01-29
CUST00877,2023-03-08
CUST00878,2023-08-21
CUST00879,2023-04-19
CUST00880,2023-05-26
CUST00881,2023-04-21
CUST00882,2023-08-16
CUST00883,2023-04-21
CUST00884,2024-04-14
CUST00885,2023-02-03
CUST00886,2024-09-14
CUST00887,2024-01-04
CUST00888,2024-08-17
CUST00889,2024-07-07
CUST00890,2024-02-29
CUST00891,2024-09-04
CUST00892,2024-06-01
CUST00893,2024-11-22
CUST00894,2023-10-09
CUST00895,2023-11-16
CUST00896,2024-03-18
CUST00897,2023-11-11
CUST00898,2024-01-12
CUST00899,2023-10-16
CUST00900,2024-03-12
CUST00901,2024-10-23
CUST00902,2023-10-04
CUST00903,2024-08-04
CUST00904,2024-05-17
CUST00905,2024-09-15
CUST00906,2024-05-30
CUST00907,2023-12-16
CUST00908,2024-03-21
CUST00909,2023-12-16
CUST00910,2024-08-29
CUST00911,2024-10-25
CUST00912,2023-05-17
CUST00913,2023-08-31
CUST00914,2024-06-26
CUST00915,2023-02-09
CUST00916,2023-08-17
CUST00917,2024-07-01
CUST00918,2023-08-11
CUST00919,2023-01-06
CUST00920,2023-11-18
CUST00921,2024-04-12
CUST00922,2023-03-16
CUST00923,2023-01-04
CUST00924,2024-10-07
CUST00925,2023-04-28
CUST00926,2024-08-28
CUST00927,2024-05-18
CUST00928,2024-07-27
CUST00929,2024-03-16
CUST00930,2023-07-13
CUST00931,2024-01-27
CUST00932,2023-01-26
CUST00933,2024-03-10
CUST00934,2023-06-22
CUST00935,2023-10-27
CUST00936,2024-10-06
CUST00937,2023-11-22
CUST00938,2024-02-14
CUST00939,2023-04-28
CUST00940,2023-08-13
CUST00941,2024-06-15
CUST00942,2023-04-23
CUST00943,2023-05-20
CUST00944,2024-07-12
CUST00945,2023-01-01
CUST00946,2023-03-31
CUST00947,2024-10-15
CUST00948,2023-11-16
CUST00949,2024-07-03
CUST00950,2023-05-19
CUST00951,2024-05-25
CUST00952,2023-09-16
CUST00953,2024-11-03
CUST00954,2024-11-20
CUST00955,2023-01-10
CUST00956,2023-09-18
CUST00957,2024-10-11
CUST00958,2023-06-21
CUST00959,2023-01-13
CUST00960,2023-06-17
CUST00961,2024-10-03
CUST00962,2024-08-18
CUST00963,2023-11-17
CUST00964,2023-11-15
CUST00965,2024-09-04
CUST00966,2023-11-25
CUST00967,2024-07-03
CUST00968,2024-02-23
CUST00969,2024-08-28
CUST00970,2023-04-05
CUST00971,2024-08-03
CUST00972,2023-11-14
CUST00973,2023-08-24
CUST00974,2023-11-30
CUST00975,2024-01-11
CUST00976,2024-04-03
CUST00977,2023-05-17
CUST00978,2024-08-10
CUST00979,2024-06-30
CUST00980,2024-05-27
CUST00981,2023-10-23
CUST00982,2023-11-16
CUST00983,2024-07-25
CUST00984,2023-12-15
CUST00985,2023-08-17
CUST00986,2023-09-27
CUST00987,2023-10-18
CUST00988,2023-06-14
CUST00989,2023-01-05
CUST00990,2024-01-14
CUST00991,2023-03-19
CUST00992,2024-02-14
CUST00993,2024-07-27
CUST00994,2023-05-12
CUST00995,2024-08-23
CUST00996,2023-02-11
CUST00997,2023-03-30
CUST00998,2024-02-06
CUST00999,2023-10-23
CUST01000,2023-10-22
CUST01001,2024-09-07
CUST01002,2024-06-09
CUST01003,2024-11-21
CUST01004,2024-09-28
CUST01005,2024-02-26
CUST01006,2023-01-23
CUST01007,2024-07-28
CUST01008,2023-05-23
CUST01009,2024-10-26
CUST01010,2023-05-25
CUST01011,2023-08-13
CUST01012,2024-05-17
CUST01013,2024-09-07
CUST01014,2023-04-14
CUST01015,2023-02-08
CUST01016,2023-07-17
CUST01017,2024-10-07
CUST01018,2024-08-01
CUST01019,2024-01-26
CUST01020,2023-06-28
CUST01021,2024-07-07
CUST01022,2024-03-23
CUST01023,2024-05-14
CUST01024,2023-01-15
CUST01025,2024-09-14
CUST01026,2024-10-30
CUST01027,2023-10-16
CUST01028,2024-04-22
CUST01029,2023-08-19
CUST01030,2024-02-24
CUST01031,2023-06-06
CUST01032,2024-07-03
CUST01033,2024-03-16
CUST01034,2023-04-07
CUST01035,2024-02-15
CUST01036,2023-10-16
CUST01037,2023-09-11
CUST01038,2023-07-15
CUST01039,2024-08-20
CUST01040,2024-06-05
CUST01041,2024-05-31
CUST01042,2024-09-26
CUST01043,2023-04-28
CUST01044,2023-06-08
CUST01045,2023-08-16
CUST01046,2023-08-04
CUST01047,2024-11-26
CUST01048,2023-01-15
CUST01049,2023-06-06
CUST01050,2024-10-09
CUST01051,2023-09-18
CUST01052,2023-06-06
CUST01053,2023-02-16
CUST01054,2023-11-20
CUST01055,2024-11-15
CUST01056,2023-05-10
CUST01057,2024-02-15
CUST01058,2023-04-05
CUST01059,2024-09-18
CUST01060,2023-10-19
CUST01061,2023-10-10
CUST01062,2023-03-10
CUST01063,2024-10-21
CUST01064,2023-01-11
CUST01065,2023-09-11
CUST01066,2024-07-03
CUST01067,2023-05-14
CUST01068,2023-01-23
CUST01069,2023-12-12
CUST01070,2023-10-29
CUST01071,2023-12-29
CUST01072,2024-01-31
CUST01073,2023-08-06
CUST01074,2023-05-21
CUST01075,2024-09-07
