CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST00180,246,1,1774.75,1,1,1,3,Hibernating
CUST00181,134,3,7225.38,2,2,2,6,Hibernating
CUST00182,25,10,23147.9,4,4,4,12,Champions
CUST00183,15,7,10691.279999999999,4,3,3,10,Loyal Customers
CUST00184,44,10,23155.23,4,4,4,12,Champions
CUST00185,25,6,18671.55,4,3,4,11,Loyal Customers
CUST00186,12,17,26473.84,4,4,4,12,Champions
CUST00188,458,1,2089.97,1,1,1,3,Hibernating
CUST00189,18,4,8711.74,4,2,2,8,Potential Loyalist
CUST00190,24,2,3045.27,4,1,1,6,Potential Loyalist
CUST00191,13,34,76249.54,4,4,4,12,Champions
CUST00192,214,5,11280.28,2,3,3,8,At Risk
CUST00193,165,1,677.14,2,1,1,4,Hibernating
CUST00194,356,5,10280.27,1,3,3,7,At Risk
CUST00195,43,33,61790.42,4,4,4,12,Champions
CUST00196,120,11,17666.2,3,4,3,10,Loyal Customers
CUST00197,23,3,8171.82,4,2,2,8,Potential Loyalist
CUST00198,56,12,32331.46,3,4,4,11,Loyal Customers
CUST00199,3,59,115932.81999999999,4,4,4,12,Champions
CUST00200,70,5,13806.24,3,3,3,9,Loyal Customers
CUST00201,400,4,4926.01,1,2,2,5,Hibernating
CUST00202,2,5,14981.22,4,3,3,10,Loyal Customers
CUST00203,287,8,21357.02,1,3,4,8,At Risk
CUST00204,687,1,1462.47,1,1,1,3,Hibernating
CUST00205,21,7,14610.01,4,3,3,10,Loyal Customers
CUST00206,394,4,5464.42,1,2,2,5,Hibernating
CUST00207,158,1,1669.41,2,1,1,4,Hibernating
CUST00208,262,4,8533.24,1,2,2,5,Hibernating
CUST00209,6,1,2336.35,4,1,1,6,Potential Loyalist
CUST00210,62,40,91330.62,3,4,4,11,Loyal Customers
CUST00211,1,14,36053.55,4,4,4,12,Champions
CUST00212,8,16,28229.14,4,4,4,12,Champions
CUST00213,156,7,13576.24,2,3,3,8,At Risk
CUST00214,11,4,4001.3700000000003,4,2,1,7,Potential Loyalist
CUST00215,17,4,4897.5599999999995,4,2,2,8,Potential Loyalist
CUST00216,238,2,1928.6599999999999,2,1,1,4,Hibernating
CUST00217,88,6,4618.67,3,3,2,8,Loyal Customers
CUST00218,250,1,2569.68,1,1,1,3,Hibernating
CUST00219,264,1,2099.92,1,1,1,3,Hibernating
CUST00220,427,3,8592.93,1,2,2,5,Hibernating
CUST00221,2,89,184690.66,4,4,4,12,Champions
CUST00222,111,13,28847.31,3,4,4,11,Loyal Customers
CUST00223,362,3,6860.54,1,2,2,5,Hibernating
CUST00224,304,3,4274.54,1,2,1,4,Hibernating
CUST00225,18,14,16992.79,4,4,3,11,Champions
CUST00226,421,2,2969.3300000000004,1,1,1,3,Hibernating
CUST00227,144,8,18234.06,2,3,4,9,At Risk
CUST00228,147,16,40775.57,2,4,4,10,At Risk
CUST00229,19,2,3722.56,4,1,1,6,Potential Loyalist
CUST00230,87,5,9930.09,3,3,3,9,Loyal Customers
CUST00231,224,3,11634.029999999999,2,2,3,7,Needs Attention
CUST00232,244,5,9768.86,1,3,3,7,At Risk
CUST00233,335,1,2318.24,1,1,1,3,Hibernating
CUST00234,46,18,48145.71,3,4,4,11,Loyal Customers
CUST00235,162,2,10840.400000000001,2,1,3,6,Needs Attention
CUST00236,57,1,5191.71,3,1,2,6,Potential Loyalist
CUST00237,97,14,16151.89,3,4,3,10,Loyal Customers
CUST00238,225,3,5895.02,2,2,2,6,Hibernating
CUST00240,131,3,2620.92,2,2,1,5,Hibernating
CUST00241,538,1,2232.22,1,1,1,3,Hibernating
CUST00242,84,3,7872.18,3,2,2,7,Potential Loyalist
CUST00243,64,2,6249.94,3,1,2,6,Potential Loyalist
CUST00244,68,3,2956.5699999999997,3,2,1,6,Potential Loyalist
CUST00245,1,36,73232.48,4,4,4,12,Champions
CUST00246,88,1,320.48,3,1,1,5,Potential Loyalist
CUST00247,52,17,29753.47,3,4,4,11,Loyal Customers
CUST00248,116,50,80405.35,3,4,4,11,Loyal Customers
CUST00249,184,3,20504.72,2,2,4,8,Needs Attention
CUST00250,117,12,18919.82,3,4,4,11,Loyal Customers
CUST00251,48,5,9421.09,3,3,3,9,Loyal Customers
CUST00252,94,16,24845.34,3,4,4,11,Loyal Customers
CUST00253,238,4,7225.19,2,2,2,6,Hibernating
CUST00254,153,4,6913.22,2,2,2,6,Hibernating
CUST00255,68,5,7950.469999999999,3,3,2,8,Loyal Customers
CUST00256,6,13,34993.06,4,4,4,12,Champions
CUST00257,185,6,13389.3,2,3,3,8,At Risk
CUST00258,264,4,5812.95,1,2,2,5,Hibernating
CUST00259,128,12,21449.6,3,4,4,11,Loyal Customers
CUST00260,58,2,4517.35,3,1,2,6,Potential Loyalist
CUST00261,238,1,1944.11,2,1,1,4,Hibernating
CUST00262,191,1,323.51,2,1,1,4,Hibernating
CUST00263,381,2,6373.29,1,1,2,4,Hibernating
CUST00264,213,3,8447.0,2,2,2,6,Hibernating
CUST00265,203,14,22572.61,2,4,4,10,At Risk
CUST00266,352,2,3624.26,1,1,1,3,Hibernating
CUST00267,26,5,11314.59,4,3,3,10,Loyal Customers
CUST00268,240,4,7406.25,2,2,2,6,Hibernating
CUST00269,170,9,15086.7,2,4,3,9,At Risk
CUST00270,30,34,67793.9,4,4,4,12,Champions
CUST00271,539,1,3901.2,1,1,1,3,Hibernating
CUST00272,104,11,24315.850000000002,3,4,4,11,Loyal Customers
CUST00274,21,7,17710.15,4,3,3,10,Loyal Customers
CUST00275,18,2,5226.099999999999,4,1,2,7,Potential Loyalist
CUST00276,51,17,34932.84,3,4,4,11,Loyal Customers
CUST00278,74,9,11303.380000000001,3,4,3,10,Loyal Customers
CUST00279,97,9,18201.36,3,4,4,11,Loyal Customers
CUST00280,328,4,6874.66,1,2,2,5,Hibernating
CUST00282,148,3,6074.49,2,2,2,6,Hibernating
CUST00284,95,6,11571.64,3,3,3,9,Loyal Customers
CUST00285,205,2,3701.2,2,1,1,4,Hibernating
CUST00286,347,4,8180.71,1,2,2,5,Hibernating
CUST00287,386,2,1060.46,1,1,1,3,Hibernating
CUST00288,179,21,29659.27,2,4,4,10,At Risk
CUST00289,522,1,1027.12,1,1,1,3,Hibernating
CUST00290,32,2,6938.08,4,1,2,7,Potential Loyalist
CUST00291,35,3,8337.41,4,2,2,8,Potential Loyalist
CUST00292,116,4,3793.8599999999997,3,2,1,6,Potential Loyalist
CUST00293,186,7,15862.95,2,3,3,8,At Risk
CUST00294,272,5,9933.4,1,3,3,7,At Risk
CUST00295,145,5,8206.36,2,3,2,7,At Risk
CUST00296,319,2,2193.15,1,1,1,3,Hibernating
CUST00297,199,6,8072.860000000001,2,3,2,7,At Risk
CUST00298,297,3,9761.32,1,2,3,6,Needs Attention
CUST00299,87,11,20298.76,3,4,4,11,Loyal Customers
CUST00300,9,27,54079.2,4,4,4,12,Champions
CUST00301,174,2,6075.45,2,1,2,5,Hibernating
CUST00302,5,8,19029.87,4,3,4,11,Loyal Customers
CUST00303,191,4,5514.96,2,2,2,6,Hibernating
CUST00304,179,3,6015.78,2,2,2,6,Hibernating
CUST00305,105,1,1562.55,3,1,1,5,Potential Loyalist
CUST00306,566,2,15674.08,1,1,3,5,Needs Attention
CUST00307,9,7,17105.239999999998,4,3,3,10,Loyal Customers
CUST00308,105,59,133241.4,3,4,4,11,Loyal Customers
CUST00309,265,9,15628.4,1,4,3,8,At Risk
CUST00310,168,4,6458.58,2,2,2,6,Hibernating
CUST00311,41,5,7798.57,4,3,2,9,Loyal Customers
CUST00312,215,5,13934.310000000001,2,3,3,8,At Risk
CUST00314,146,2,2790.0299999999997,2,1,1,4,Hibernating
CUST00315,280,10,24285.32,1,4,4,9,At Risk
CUST00316,162,5,11081.49,2,3,3,8,At Risk
CUST00317,23,13,18396.12,4,4,4,12,Champions
CUST00318,253,3,6604.99,1,2,2,5,Hibernating
CUST00319,170,1,1572.35,2,1,1,4,Hibernating
CUST00320,44,2,3223.33,4,1,1,6,Potential Loyalist
CUST00321,20,4,6027.05,4,2,2,8,Potential Loyalist
CUST00322,58,26,77391.45,3,4,4,11,Loyal Customers
CUST00324,271,13,24459.88,1,4,4,9,At Risk
CUST00325,104,7,20421.34,3,3,4,10,Loyal Customers
CUST00326,89,11,28966.7,3,4,4,11,Loyal Customers
CUST00327,552,1,1119.11,1,1,1,3,Hibernating
CUST00328,131,10,18158.51,2,4,4,10,At Risk
CUST00329,252,7,10129.42,1,3,3,7,At Risk
CUST00330,484,1,2519.21,1,1,1,3,Hibernating
CUST00331,128,4,9720.310000000001,3,2,3,8,Potential Loyalist
CUST00332,351,11,22117.59,1,4,4,9,At Risk
CUST00333,105,26,42198.64,3,4,4,11,Loyal Customers
CUST00334,91,2,3874.8,3,1,1,5,Potential Loyalist
CUST00335,11,5,5614.969999999999,4,3,2,9,Loyal Customers
CUST00336,24,18,38805.58,4,4,4,12,Champions
CUST00337,6,14,24753.96,4,4,4,12,Champions
CUST00338,51,29,61437.89,3,4,4,11,Loyal Customers
CUST00339,21,7,15967.52,4,3,3,10,Loyal Customers
CUST00340,398,1,2337.72,1,1,1,3,Hibernating
CUST00341,259,2,884.8199999999999,1,1,1,3,Hibernating
CUST00342,86,4,8189.2300000000005,3,2,2,7,Potential Loyalist
CUST00343,71,12,27532.440000000002,3,4,4,11,Loyal Customers
CUST00344,7,11,22170.21,4,4,4,12,Champions
CUST00345,410,2,3286.98,1,1,1,3,Hibernating
CUST00346,248,20,40412.119999999995,1,4,4,9,At Risk
CUST00347,231,5,6477.0599999999995,2,3,2,7,At Risk
CUST00348,104,5,7176.400000000001,3,3,2,8,Loyal Customers
CUST00349,29,4,7866.91,4,2,2,8,Potential Loyalist
CUST00350,15,4,9805.61,4,2,3,9,Potential Loyalist
CUST00351,364,1,3182.09,1,1,1,3,Hibernating
CUST00352,348,3,10045.109999999999,1,2,3,6,Needs Attention
CUST00353,160,1,2457.98,2,1,1,4,Hibernating
CUST00354,33,3,4964.280000000001,4,2,2,8,Potential Loyalist
CUST00355,274,3,11754.599999999999,1,2,3,6,Needs Attention
CUST00356,16,4,11505.96,4,2,3,9,Potential Loyalist
CUST00357,89,1,364.29,3,1,1,5,Potential Loyalist
CUST00358,157,6,10735.55,2,3,3,8,At Risk
CUST00359,66,1,987.63,3,1,1,5,Potential Loyalist
CUST00360,16,16,36974.25,4,4,4,12,Champions
CUST00361,46,44,74575.11,3,4,4,11,Loyal Customers
CUST00362,22,1,13047.39,4,1,3,8,Potential Loyalist
CUST00363,42,11,35624.479999999996,4,4,4,12,Champions
CUST00364,420,1,814.39,1,1,1,3,Hibernating
CUST00365,280,4,12005.720000000001,1,2,3,6,Needs Attention
CUST00366,103,3,6616.09,3,2,2,7,Potential Loyalist
CUST00367,238,3,3853.1,2,2,1,5,Hibernating
CUST00368,429,3,6534.72,1,2,2,5,Hibernating
CUST00369,68,3,3585.95,3,2,1,6,Potential Loyalist
CUST00371,49,9,19039.239999999998,3,4,4,11,Loyal Customers
CUST00372,243,4,6641.7,1,2,2,5,Hibernating
CUST00373,145,8,18702.42,2,3,4,9,At Risk
CUST00374,177,2,2233.12,2,1,1,4,Hibernating
CUST00375,35,49,97357.0,4,4,4,12,Champions
CUST00376,27,2,12023.18,4,1,3,8,Potential Loyalist
CUST00377,214,3,5904.34,2,2,2,6,Hibernating
CUST00378,146,6,12940.01,2,3,3,8,At Risk
CUST00379,2,4,6514.83,4,2,2,8,Potential Loyalist
CUST00380,48,41,81877.91,3,4,4,11,Loyal Customers
CUST00381,26,11,17360.68,4,4,3,11,Champions
CUST00382,47,7,12134.16,3,3,3,9,Loyal Customers
CUST00383,438,3,4862.96,1,2,2,5,Hibernating
CUST00384,229,14,30893.8,2,4,4,10,At Risk
CUST00385,114,19,39429.020000000004,3,4,4,11,Loyal Customers
CUST00386,112,7,12738.380000000001,3,3,3,9,Loyal Customers
CUST00387,20,14,29826.87,4,4,4,12,Champions
CUST00388,12,5,5054.23,4,3,2,9,Loyal Customers
CUST00390,296,2,5428.5,1,1,2,4,Hibernating
CUST00391,18,1,6211.99,4,1,2,7,Potential Loyalist
CUST00392,449,1,1755.18,1,1,1,3,Hibernating
CUST00393,228,2,2570.91,2,1,1,4,Hibernating
CUST00395,59,16,35613.77,3,4,4,11,Loyal Customers
CUST00396,107,23,48042.65,3,4,4,11,Loyal Customers
CUST00397,34,3,8047.19,4,2,2,8,Potential Loyalist
CUST00398,35,4,6562.18,4,2,2,8,Potential Loyalist
CUST00399,79,14,21374.81,3,4,4,11,Loyal Customers
CUST00400,238,1,1214.15,2,1,1,4,Hibernating
CUST00401,63,9,15182.869999999999,3,4,3,10,Loyal Customers
CUST00402,342,5,6994.19,1,3,2,6,At Risk
CUST00403,288,3,8037.639999999999,1,2,2,5,Hibernating
CUST00404,30,40,81597.73,4,4,4,12,Champions
CUST00405,62,4,14507.33,3,2,3,8,Potential Loyalist
CUST00406,44,7,13811.42,4,3,3,10,Loyal Customers
CUST00407,399,10,21482.0,1,4,4,9,At Risk
CUST00409,145,4,5809.110000000001,2,2,2,6,Hibernating
CUST00410,44,22,54661.38,4,4,4,12,Champions
CUST00411,34,2,8672.65,4,1,2,7,Potential Loyalist
CUST00412,141,14,29420.129999999997,2,4,4,10,At Risk
CUST00413,199,3,5946.5599999999995,2,2,2,6,Hibernating
CUST00414,12,6,15748.109999999999,4,3,3,10,Loyal Customers
CUST00415,193,7,14841.900000000001,2,3,3,8,At Risk
CUST00416,44,1,455.82,4,1,1,6,Potential Loyalist
CUST00417,14,17,36950.27,4,4,4,12,Champions
CUST00418,17,32,75539.82,4,4,4,12,Champions
CUST00419,11,5,12110.91,4,3,3,10,Loyal Customers
CUST00420,14,5,8132.88,4,3,2,9,Loyal Customers
CUST00421,144,8,16934.15,2,3,3,8,At Risk
CUST00422,180,6,17656.309999999998,2,3,3,8,At Risk
CUST00423,94,8,15808.45,3,3,3,9,Loyal Customers
CUST00424,164,5,9326.84,2,3,3,8,At Risk
CUST00425,318,5,16463.18,1,3,3,7,At Risk
CUST00426,186,8,14989.45,2,3,3,8,At Risk
CUST00427,10,4,4419.2699999999995,4,2,2,8,Potential Loyalist
CUST00428,549,2,1068.0,1,1,1,3,Hibernating
CUST00429,44,2,6785.54,4,1,2,7,Potential Loyalist
CUST00430,45,5,16104.32,4,3,3,10,Loyal Customers
CUST00431,65,3,7252.91,3,2,2,7,Potential Loyalist
CUST00432,2,8,29528.589999999997,4,3,4,11,Loyal Customers
CUST00433,119,5,12638.55,3,3,3,9,Loyal Customers
CUST00434,75,4,8312.19,3,2,2,7,Potential Loyalist
CUST00435,66,5,8914.98,3,3,2,8,Loyal Customers
CUST00436,211,2,3569.61,2,1,1,4,Hibernating
CUST00437,281,4,9217.67,1,2,3,6,Needs Attention
CUST00438,74,11,16948.55,3,4,3,10,Loyal Customers
CUST00439,44,14,37632.87,4,4,4,12,Champions
CUST00440,50,4,6880.81,3,2,2,7,Potential Loyalist
CUST00441,132,1,3356.02,2,1,1,4,Hibernating
CUST00444,235,5,7854.74,2,3,2,7,At Risk
CUST00445,28,4,6369.65,4,2,2,8,Potential Loyalist
CUST00446,189,7,23107.4,2,3,4,9,At Risk
CUST00447,202,5,9432.89,2,3,3,8,At Risk
CUST00448,28,3,4424.67,4,2,2,8,Potential Loyalist
CUST00449,37,6,9400.4,4,3,3,10,Loyal Customers
CUST00450,326,2,6189.02,1,1,2,4,Hibernating
CUST00451,428,2,6280.09,1,1,2,4,Hibernating
CUST00452,660,1,1703.46,1,1,1,3,Hibernating
CUST00453,344,11,20628.2,1,4,4,9,At Risk
CUST00454,210,4,7318.01,2,2,2,6,Hibernating
CUST00455,32,33,68962.29,4,4,4,12,Champions
CUST00456,80,4,7281.040000000001,3,2,2,7,Potential Loyalist
CUST00457,27,15,32448.01,4,4,4,12,Champions
CUST00458,167,5,9130.25,2,3,3,8,At Risk
CUST00459,166,8,14761.72,2,3,3,8,At Risk
CUST00460,25,4,8472.310000000001,4,2,2,8,Potential Loyalist
CUST00461,85,5,8198.48,3,3,2,8,Loyal Customers
CUST00462,175,6,11024.59,2,3,3,8,At Risk
CUST00463,75,2,657.27,3,1,1,5,Potential Loyalist
CUST00464,242,3,7775.960000000001,2,2,2,6,Hibernating
CUST00465,495,2,6529.07,1,1,2,4,Hibernating
CUST00466,178,3,3928.88,2,2,1,5,Hibernating
CUST00467,291,7,14785.34,1,3,3,7,At Risk
CUST00468,279,6,15172.3,1,3,3,7,At Risk
CUST00469,86,12,24313.96,3,4,4,11,Loyal Customers
CUST00470,44,6,6317.47,4,3,2,9,Loyal Customers
CUST00471,5,71,130935.13,4,4,4,12,Champions
CUST00472,1,1,1848.88,4,1,1,6,Potential Loyalist
CUST00473,335,1,1391.5,1,1,1,3,Hibernating
CUST00474,186,2,4544.48,2,1,2,5,Hibernating
CUST00475,525,7,9938.37,1,3,3,7,At Risk
CUST00476,122,10,15233.96,3,4,3,10,Loyal Customers
CUST00477,238,2,4957.2,2,1,2,5,Hibernating
CUST00478,87,12,28129.61,3,4,4,11,Loyal Customers
CUST00479,364,7,30190.39,1,3,4,8,At Risk
CUST00480,32,5,7764.02,4,3,2,9,Loyal Customers
CUST00481,7,6,11847.22,4,3,3,10,Loyal Customers
CUST00482,25,4,8730.23,4,2,2,8,Potential Loyalist
